id,title,doi,pagerank,in_degree
"X. Jing, Z. Yan, W. Pedrycz, Security data collection and data analytics in the","X. Jing, Z. Yan, W. Pedrycz, Security data collection and data analytics in the",,0.045535067684397385,1
"internet: a survey, IEEE Commun. Surv. Tutorials 21 (1) (2019) 586–618.","internet: a survey, IEEE Commun. Surv. Tutorials 21 (1) (2019) 586–618.",,0.045535067684397385,1
"K.J. Singh, K. Thongam, T. De, Detection and differentiation of application layer","K.J. Singh, K. Thongam, T. De, Detection and differentiation of application layer",,0.045535067684397385,1
"DDoS attack from flash events using fuzzy-GA computation, IET Inf. Secur. 12 (6)","DDoS attack from flash events using fuzzy-GA computation, IET Inf. Secur. 12 (6)",,0.045535067684397385,1
(2018) 502–512.,(2018) 502–512.,,0.045535067684397385,1
"T. Subbulakshmi, S. Mercy Shalinie, C. Suneel Reddy, A. Ramamoorthi, Detection","T. Subbulakshmi, S. Mercy Shalinie, C. Suneel Reddy, A. Ramamoorthi, Detection",,0.045535067684397385,1
"and classification of DDoS attacks using fuzzy inference system, Commun. Comput.","and classification of DDoS attacks using fuzzy inference system, Commun. Comput.",,0.045535067684397385,1
Inf. Sci. 89 CCIS (2010) 242–252.,Inf. Sci. 89 CCIS (2010) 242–252.,,0.045535067684397385,1
"N. Tabassum, M. S. Khan, S. Abbas, T. Alyas, A. Athar, and M. A. Khan, “EAI","N. Tabassum, M. S. Khan, S. Abbas, T. Alyas, A. Athar, and M. A. Khan, “EAI",,0.045535067684397385,1
Endorsed Transactions Intelligent reliability management in hyper- convergence,Endorsed Transactions Intelligent reliability management in hyper- convergence,,0.045535067684397385,1
